userId,movieId,score
1,3088,3.611387852022896
1,969,3.569559226193156
1,2064,3.5163303573326155
1,2858,3.5022281014531114
1,7502,3.50069017524515
1,1233,3.4809072031745223
1,6016,3.4805762216951788
1,6787,3.4764104349519056
1,1219,3.4735055733443447
1,3683,3.4724288174994675
1,899,3.471933027507867
1,1172,3.470324247955254
1,318,3.461962949602691
1,58559,3.4591444496529182
1,908,3.4520169984495284
1,3462,3.446924183910729
1,1299,3.44208754792263
1,1945,3.4394113719087964
1,926,3.4360570340094614
1,3007,3.4317376625825435
2,899,4.494052488124653
2,2571,4.402760468894982
2,2019,4.399007853190411
2,1172,4.3898838148175825
2,926,4.38205560241243
2,318,4.376747617407563
2,1204,4.34617985651963
2,969,4.344953674895213
2,1252,4.328219207561284
2,913,4.314071740958659
2,68157,4.31389353016026
2,7502,4.31083486513826
2,1276,4.295199712551748
2,6016,4.293473731282137
2,260,4.292277618259062
2,3462,4.281975483089853
2,7153,4.267710489934776
2,2542,4.2666112482411
2,3035,4.264104912554748
2,2359,4.258211323825893
3,318,4.448943991357153
3,232,4.379029058462861
3,2858,4.292798398354724
3,1217,4.291446980655187
3,1147,4.283391616897488
3,899,4.275255123926612
3,1204,4.2633600667606375
3,1203,4.237810682501386
3,1945,4.216246281739087
3,1299,4.198646141416776
3,2329,4.198385180506865
3,2064,4.192545473756831
3,913,4.182273387476815
3,1212,4.175814096284336
3,1193,4.160545424931092
3,76093,4.157131608661644
3,457,4.156840111541595
3,926,4.155860310138025
3,48516,4.153249582462826
3,745,4.13892610503178
4,1172,5.0
4,50,5.0
4,296,5.0
4,778,5.0
4,1197,5.0
4,2318,5.0
4,260,5.0
4,858,5.0
4,903,5.0
4,1196,5.0
4,1198,5.0
4,1213,5.0
4,1220,5.0
4,1230,5.0
4,1221,5.0
4,745,5.0
4,750,5.0
4,904,5.0
4,922,5.0
4,926,5.0
5,926,4.766127570882985
5,318,4.747112640875509
5,2858,4.736440086486288
5,2019,4.724287223691954
5,3462,4.7135946995104625
5,3088,4.696317453695353
5,969,4.676252470222137
5,72226,4.6537513051187425
5,3035,4.641325794862951
5,1178,4.637457376345669
5,134130,4.625256324167143
5,1228,4.624019057836402
5,1293,4.623194782842287
5,50,4.620291120046748
5,1262,4.618034781794261
5,2329,4.615345656221761
5,4011,4.607235360137166
5,1305,4.601054743530422
5,1219,4.588430281243592
5,2186,4.579890286921682
6,858,4.149221441792034
6,356,4.126660417493984
6,1228,4.112846072786457
6,1060,4.111512103939392
6,3462,4.108324859975581
6,318,4.072576378169954
6,1172,4.040433090276865
6,293,4.021971711466917
6,1198,4.019817754565859
6,1299,4.017517952299644
6,1178,4.011435965783622
6,76093,4.001978561112326
6,50,3.9943105458961146
6,1260,3.985788364206478
6,905,3.9851249962457165
